prime,"PipelineFlatNBEOf with extraction OCaml using precomputed_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_naive (real, s)","PipelineNBEOf with vm_compute using BoundsPipeline (real, s)","GallinaAxOf with vm_compute using None (real, s)","GallinaAxOf with cbv using None (real, s)",extra info
401734511064747568885490523085290650630550748445698208825327,0.057782,0.168457,0.659846,10.613,0.207,4.897,UnsaturatedSolinas x32 (0)
401734511064747568885490523085290650630550748445698208825327,0.014537,0.039471,0.143979,2.398,0.045,1.097,UnsaturatedSolinas x64 (0)
401734511064747568885490523085290650630550748445698208825327,1.046959,2.400282,9.223599,129.633,3.397,79.117,WordByWordMontgomery x32
401734511064747568885490523085290650630550748445698208825327,0.132707,0.305362,1.119176,18.134,0.653,14.386,WordByWordMontgomery x64
33343964418374048217495713416079124002335712120992951332503551,,,,,,,UnsaturatedSolinas x32 (0)
33343964418374048217495713416079124002335712120992951332503551,,,,,,,UnsaturatedSolinas x64 (0)
33343964418374048217495713416079124002335712120992951332503551,1.013784,2.386223,9.150150,129.321,3.432,75.849,WordByWordMontgomery x32
33343964418374048217495713416079124002335712120992951332503551,0.129671,0.299023,1.107555,17.882,0.67,14.521,WordByWordMontgomery x64
102844034832575377634685573909834406561420991602098741459288059,0.059033,0.170360,0.629945,10.902,0.223,5.718,UnsaturatedSolinas x32 (0)
102844034832575377634685573909834406561420991602098741459288059,0.014882,0.038670,0.147220,2.442,0.049,1.181,UnsaturatedSolinas x64 (0)
102844034832575377634685573909834406561420991602098741459288059,1.067103,2.469777,9.331138,128.689,3.346,74.244,WordByWordMontgomery x32
102844034832575377634685573909834406561420991602098741459288059,0.133272,0.296596,1.096491,17.297,0.631,14.492,WordByWordMontgomery x64
6582018229284824168619876730229402019930943462534319453394436067,0.080226,0.242868,0.859512,14.004,0.311,7.202,UnsaturatedSolinas x32 (0)
6582018229284824168619876730229402019930943462534319453394436067,0.015541,0.042617,0.149097,2.47,0.051,1.36,UnsaturatedSolinas x64 (0)
6582018229284824168619876730229402019930943462534319453394436067,1.048060,2.448061,9.378669,128.058,3.47,74.463,WordByWordMontgomery x32
6582018229284824168619876730229402019930943462534319453394436067,0.143464,0.314443,1.135970,17.522,0.644,14.303,WordByWordMontgomery x64
13164036458569648337239753460458804039861886925068638906788872189,0.061848,0.174836,0.652614,10.941,0.239,5.542,UnsaturatedSolinas x32 (0)
13164036458569648337239753460458804039861886925068638906788872189,0.015578,0.040386,0.148612,2.467,0.051,1.248,UnsaturatedSolinas x64 (0)
13164036458569648337239753460458804039861886925068638906788872189,1.042540,2.434463,9.398276,128.817,3.369,84.478,WordByWordMontgomery x32
13164036458569648337239753460458804039861886925068638906788872189,0.138585,0.309250,1.133917,17.031,0.65,14.323,WordByWordMontgomery x64
105312291668557186697918027683670107800341436973822328098290401279,0.084648,0.234657,0.854373,14.303,0.335,7.892,UnsaturatedSolinas x32 (0)
105312291668557186697918027683670107800341436973822328098290401279,0.021412,0.055308,0.205536,3.612,0.078,1.879,UnsaturatedSolinas x64 (0)
105312291668557186697918027683670107800341436973822328098290401279,1.014779,2.307281,8.830720,125.783,3.291,73.208,WordByWordMontgomery x32
105312291668557186697918027683670107800341436973822328098290401279,0.136868,0.304229,1.113723,17.927,0.635,14.322,WordByWordMontgomery x64
3369993333393829974333376885877453834204643052817571560137951281149,0.064277,0.178587,0.655873,10.76,0.252,5.948,UnsaturatedSolinas x32 (0)
3369993333393829974333376885877453834204643052817571560137951281149,0.015510,0.039722,0.143072,2.464,0.055,1.343,UnsaturatedSolinas x64 (0)
3369993333393829974333376885877453834204643052817571560137951281149,1.045435,2.395677,9.288064,128.732,3.369,75.149,WordByWordMontgomery x32
3369993333393829974333376885877453834204643052817571560137951281149,0.139251,0.319431,1.127462,17.469,0.665,14.452,WordByWordMontgomery x64
6739986666787659948666753771754907668409286105635143120275902562187,0.082944,0.241800,0.866450,14.018,0.333,7.838,UnsaturatedSolinas x32 (0)
6739986666787659948666753771754907668409286105635143120275902562187,0.015277,0.041605,0.147292,2.515,0.053,1.342,UnsaturatedSolinas x64 (0)
6739986666787659948666753771754907668409286105635143120275902562187,1.044090,2.484663,9.291709,130.095,3.35,75.257,WordByWordMontgomery x32
6739986666787659948666753771754907668409286105635143120275902562187,0.135628,0.301106,1.105298,17.368,0.634,14.399,WordByWordMontgomery x64
26959946667150639794667015087019630673557916260026308143510066298881,0.145682,0.395208,1.427682,23.721,0.594,13.931,UnsaturatedSolinas x32 (0)
26959946667150639794667015087019630673557916260026308143510066298881,0.033541,0.090580,0.326270,5.488,0.128,3.055,UnsaturatedSolinas x64 (0)
26959946667150639794667015087019630673557916260026308143510066298881,1.057108,2.365194,9.303489,128.894,3.442,74.916,WordByWordMontgomery x32
26959946667150639794667015087019630673557916260026308143510066298881,0.136737,0.325364,1.111956,17.988,0.667,14.412,WordByWordMontgomery x64
107839786668602559178668060348078522694548577690162289924414440996859,0.082234,0.239248,0.868356,13.934,0.346,8.094,UnsaturatedSolinas x32 (0)
