prime,"PipelineFlatNBEOf with extraction OCaml (real, s)","PipelineNBEOf with vm_compute (real, s)","GallinaAxOf with vm_compute (real, s)","GallinaAxOf with cbv (real, s)",extra info
33343964418374048217495713416079124002335712120992951332503551,,,,,UnsaturatedSolinas x64 (0)
33343964418374048217495713416079124002335712120992951332503551,0.884496,,,,WordByWordMontgomery x32 
33343964418374048217495713416079124002335712120992951332503551,0.107833,,,,WordByWordMontgomery x64 
102844034832575377634685573909834406561420991602098741459288059,0.045358,0.597,0.235,5.07,UnsaturatedSolinas x32 (0)
102844034832575377634685573909834406561420991602098741459288059,0.012490,0.136,0.046,1.226,UnsaturatedSolinas x64 (0)
102844034832575377634685573909834406561420991602098741459288059,0.826329,,3.144,76.556,WordByWordMontgomery x32 
102844034832575377634685573909834406561420991602098741459288059,0.114476,1.36,0.569,13.764,WordByWordMontgomery x64 
6582018229284824168619876730229402019930943462534319453394436067,0.065009,0.794,0.312,7.526,UnsaturatedSolinas x32 (0)
6582018229284824168619876730229402019930943462534319453394436067,0.011999,0.142,0.048,1.28,UnsaturatedSolinas x64 (0)
6582018229284824168619876730229402019930943462534319453394436067,0.806604,,3.177,77.088,WordByWordMontgomery x32 
6582018229284824168619876730229402019930943462534319453394436067,0.119816,1.342,0.573,14.601,WordByWordMontgomery x64 
13164036458569648337239753460458804039861886925068638906788872189,0.046492,0.576,0.245,5.891,UnsaturatedSolinas x32 (0)
13164036458569648337239753460458804039861886925068638906788872189,0.019010,0.138,0.049,1.356,UnsaturatedSolinas x64 (0)
13164036458569648337239753460458804039861886925068638906788872189,0.828324,,3.157,76.757,WordByWordMontgomery x32 
13164036458569648337239753460458804039861886925068638906788872189,0.116254,1.401,0.572,13.819,WordByWordMontgomery x64 
105312291668557186697918027683670107800341436973822328098290401279,,,,,UnsaturatedSolinas x32 (0)
105312291668557186697918027683670107800341436973822328098290401279,,,,,UnsaturatedSolinas x64 (0)
105312291668557186697918027683670107800341436973822328098290401279,0.896860,,,,WordByWordMontgomery x32 
105312291668557186697918027683670107800341436973822328098290401279,0.117469,,,,WordByWordMontgomery x64 
3369993333393829974333376885877453834204643052817571560137951281149,0.066906,0.835,0.34,7.889,UnsaturatedSolinas x32 (0)
