prime,"UnsaturatedSolinas x32 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxOf with vm_compute (real, s)","UnsaturatedSolinas x32 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with cbv (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxOf with cbv (real, s)","UnsaturatedSolinas x32 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","WordByWordMontgomery x32 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFlatNBEOf with extraction OCaml (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 PipelineNBEOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineNBEOf with vm_compute (real, s)"
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,1.628,0.261,,4.755,41.469,7.012,,117.717,0.207747,0.037428,10.794406,0.652396,,0.484,,
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,1.628,0.266,,4.722,41.3,7.038,,117.67,0.215525,0.038432,10.302343,0.689478,,0.468,,
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,2.734,0.442,,4.724,73.783,11.856,,118.369,0.340468,0.058063,18.204322,0.620978,,0.741,,
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,2.867,0.464,,4.718,77.472,12.421,,118.782,0.343842,0.060658,18.388721,0.701026,,0.742,,
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,3.417,0.472,,4.746,87.505,12.721,,118.783,0.423934,0.058299,18.597490,0.708749,,0.752,,
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,4.173,0.475,,4.722,102.183,12.049,,118.731,0.488026,0.060861,18.578935,0.691170,,0.788,,
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,3.461,0.477,,4.738,93.717,11.951,,126.558,0.416906,0.059688,16.717235,0.694779,,0.733,,
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,3.449,0.477,,4.743,93.747,11.915,,118.214,0.417661,0.058919,18.481658,0.683326,,0.772,,
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,,,,,,,18.615959,0.691550,,,,
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,,,,,,,18.865701,0.647113,,,,
