      After |    Peak Mem | File Name                                                                  |        Before |    Peak Mem ||         Change || Change (mem) | % Change | % Change (mem)
   0m01.81s |   722236 ko | Specific/solinas64_2e212m29_5limbs/fesubDisplay.log                        |      0m03.07s |   721780 ko ||      -0m01.25s ||       456 ko |  -41.04% |         +0.06%
   0m01.81s |   721524 ko | Specific/solinas64_2e222m117_4limbs/feaddDisplay.log                       |      0m02.84s |   721208 ko ||      -0m01.02s ||       316 ko |  -36.26% |         +0.04%
   0m01.80s |   721808 ko | Specific/solinas32_2e152m17_6limbs/feaddDisplay.log                        |      0m02.86s |   721632 ko ||      -0m01.05s ||       176 ko |  -37.06% |         +0.02%
   0m01.80s |   722224 ko | Specific/solinas32_2e158m15_6limbs/feaddDisplay.log                        |      0m02.81s |   722132 ko ||      -0m01.01s ||        92 ko |  -35.94% |         +0.01%
   0m01.80s |   722320 ko | Specific/solinas32_2e166m5_6limbs/feaddDisplay.log                         |      0m02.89s |   722100 ko ||      -0m01.09s ||       220 ko |  -37.71% |         +0.03%
   0m01.80s |   723024 ko | Specific/solinas32_2e174m3_8limbs/feaddDisplay.log                         |      0m02.95s |   723052 ko ||      -0m01.15s ||       -28 ko |  -38.98% |         -0.00%
   0m01.80s |   721376 ko | Specific/solinas64_2e130m5_4limbs/fesubDisplay.log                         |      0m03.03s |   721172 ko ||      -0m01.22s ||       204 ko |  -40.59% |         +0.02%
   0m01.80s |   721116 ko | Specific/solinas64_2e140m27_4limbs/fesubDisplay.log                        |      0m03.05s |   721160 ko ||      -0m01.24s ||       -44 ko |  -40.98% |         -0.00%
   0m01.80s |   721804 ko | Specific/solinas64_2e150m5_4limbs/fesubDisplay.log                         |      0m03.01s |   721780 ko ||      -0m01.20s ||        24 ko |  -40.19% |         +0.00%
   0m01.80s |   720992 ko | Specific/solinas64_2e158m15_3limbs/fesubDisplay.log                        |      0m02.99s |   720816 ko ||      -0m01.19s ||       176 ko |  -39.79% |         +0.02%
   0m01.80s |   722044 ko | Specific/solinas64_2e166m5_4limbs/fesubDisplay.log                         |      0m02.99s |   721908 ko ||      -0m01.19s ||       136 ko |  -39.79% |         +0.01%
   0m01.80s |   721120 ko | Specific/solinas64_2e174m17_3limbs/fesubDisplay.log                        |      0m02.84s |   720716 ko ||      -0m01.03s ||       404 ko |  -36.61% |         +0.05%
   0m01.80s |   722120 ko | Specific/solinas64_2e174m17_4limbs/fesubDisplay.log                        |      0m03.03s |   721700 ko ||      -0m01.22s ||       420 ko |  -40.59% |         +0.05%
   0m01.80s |   721992 ko | Specific/solinas64_2e192m2e64m1_5limbs/fesubDisplay.log                    |      0m02.94s |   721996 ko ||      -0m01.13s ||        -4 ko |  -38.77% |         -0.00%
   0m01.80s |   721804 ko | Specific/solinas64_2e194m33_4limbs/fesubDisplay.log                        |      0m02.92s |   721776 ko ||      -0m01.11s ||        28 ko |  -38.35% |         +0.00%
   0m01.80s |   722492 ko | Specific/solinas64_2e216m2e108m1_5limbs/fesubDisplay.log                   |      0m03.04s |   722396 ko ||      -0m01.24s ||        96 ko |  -40.78% |         +0.01%
   0m01.80s |   722032 ko | Specific/solinas64_2e221m3_5limbs/feaddDisplay.log                         |      0m02.86s |   721832 ko ||      -0m01.05s ||       200 ko |  -37.06% |         +0.02%
   0m01.79s |   721720 ko | Specific/solinas32_2e127m1_6limbs/feaddDisplay.log                         |      0m02.87s |   721436 ko ||      -0m01.08s ||       284 ko |  -37.63% |         +0.03%
   0m01.79s |   721896 ko | Specific/solinas32_2e150m3_6limbs/feaddDisplay.log                         |      0m02.97s |   721524 ko ||      -0m01.18s ||       372 ko |  -39.73% |         +0.05%
   0m01.79s |   722452 ko | Specific/solinas32_2e150m5_7limbs/feaddDisplay.log                         |      0m03.06s |   722756 ko ||      -0m01.27s ||      -304 ko |  -41.50% |         -0.04%
   0m01.79s |   721948 ko | Specific/solinas64_2e174m3_3limbs/fecarryDisplay.log                       |      0m03.17s |   721352 ko ||      -0m01.37s ||       596 ko |  -43.53% |         +0.08%
   0m01.79s |   721548 ko | Specific/solinas64_2e191m19_4limbs/feaddDisplay.log                        |      0m02.88s |   721256 ko ||      -0m01.08s ||       292 ko |  -37.84% |         +0.04%
   0m01.79s |   721740 ko | Specific/solinas64_2e235m15_5limbs/feaddDisplay.log                        |      0m02.90s |   721744 ko ||      -0m01.10s ||        -4 ko |  -38.27% |         -0.00%
   0m01.79s |   722364 ko | Specific/solinas64_2e243m9_6limbs/feaddDisplay.log                         |      0m03.08s |   722296 ko ||      -0m01.29s ||        68 ko |  -41.88% |         +0.00%
   0m01.78s |   722016 ko | Specific/solinas32_2e129m25_5limbs/fesubDisplay.log                        |      0m03.00s |   722112 ko ||      -0m01.21s ||       -96 ko |  -40.66% |         -0.01%
   0m01.78s |   722688 ko | Specific/solinas32_2e140m27_7limbs/feaddDisplay.log                        |      0m02.82s |   722548 ko ||      -0m01.03s ||       140 ko |  -36.87% |         +0.01%
   0m01.78s |   722748 ko | Specific/solinas32_2e150m3_7limbs/feaddDisplay.log                         |      0m02.93s |   722672 ko ||      -0m01.15s ||        76 ko |  -39.24% |         +0.01%
   0m01.78s |   722488 ko | Specific/solinas32_2e174m17_7limbs/feaddDisplay.log                        |      0m02.83s |   722384 ko ||      -0m01.05s ||       104 ko |  -37.10% |         +0.01%
   0m01.78s |   722292 ko | Specific/solinas32_2e190m11_7limbs/feaddDisplay.log                        |      0m02.98s |   722464 ko ||      -0m01.19s ||      -172 ko |  -40.26% |         -0.02%
   0m01.78s |   722156 ko | Specific/solinas64_2e174m3_4limbs/fesubDisplay.log                         |      0m03.05s |   721952 ko ||      -0m01.26s ||       204 ko |  -41.63% |         +0.02%
   0m01.78s |   721704 ko | Specific/solinas64_2e189m25_5limbs/feaddDisplay.log                        |      0m02.90s |   721376 ko ||      -0m01.11s ||       328 ko |  -38.62% |         +0.04%
   0m01.78s |   721780 ko | Specific/solinas64_2e190m11_5limbs/feaddDisplay.log                        |      0m02.91s |   721552 ko ||      -0m01.13s ||       228 ko |  -38.83% |         +0.03%
   0m01.78s |   721672 ko | Specific/solinas64_2e216m2e108m1_4limbs/feaddDisplay.log                   |      0m02.95s |   721356 ko ||      -0m01.17s ||       316 ko |  -39.66% |         +0.04%
   0m01.77s |   722684 ko | Specific/solinas32_2e152m17_7limbs/feaddDisplay.log                        |      0m02.91s |   722460 ko ||      -0m01.14s ||       224 ko |  -39.17% |         +0.03%
   0m01.77s |   720920 ko | Specific/solinas64_2e127m1_3limbs/fesubDisplay.log                         |      0m02.81s |   720772 ko ||      -0m01.04s ||       148 ko |  -37.01% |         +0.02%
   0m01.77s |   719248 ko | Specific/solinas64_2e140m27_3limbs/fecarryDisplay.log                      |      0m03.06s |   719144 ko ||      -0m01.29s ||       104 ko |  -42.15% |         +0.01%
   0m01.77s |   720992 ko | Specific/solinas64_2e140m27_3limbs/fesubDisplay.log                        |      0m02.90s |   720772 ko ||      -0m01.12s ||       220 ko |  -38.96% |         +0.03%
   0m01.77s |   721104 ko | Specific/solinas64_2e171m19_3limbs/fesubDisplay.log                        |      0m02.96s |   720820 ko ||      -0m01.18s ||       284 ko |  -40.20% |         +0.03%
   0m01.77s |   721728 ko | Specific/solinas64_2e190m11_4limbs/feaddDisplay.log                        |      0m02.89s |   721432 ko ||      -0m01.12s ||       296 ko |  -38.75% |         +0.04%
   0m01.77s |   721160 ko | Specific/solinas64_2e206m5_4limbs/feaddDisplay.log                         |      0m02.77s |   721196 ko ||      -0m01.00s ||       -36 ko |  -36.10% |         -0.00%
   0m01.77s |   721576 ko | Specific/solinas64_2e212m29_5limbs/feaddDisplay.log                        |      0m03.10s |   721744 ko ||      -0m01.33s ||      -168 ko |  -42.90% |         -0.02%
   0m01.77s |   721332 ko | Specific/solinas64_2e213m3_4limbs/feaddDisplay.log                         |      0m02.90s |   721260 ko ||      -0m01.12s ||        72 ko |  -38.96% |         +0.00%
   0m01.77s |   721332 ko | Specific/solinas64_2e226m5_4limbs/feaddDisplay.log                         |      0m02.86s |   721352 ko ||      -0m01.08s ||       -20 ko |  -38.11% |         -0.00%
   0m01.77s |   722488 ko | Specific/solinas64_2e230m27_5limbs/fesubDisplay.log                        |      0m03.02s |   721840 ko ||      -0m01.25s ||       648 ko |  -41.39% |         +0.08%
   0m01.76s |   721940 ko | Specific/solinas32_2e130m5_5limbs/fesubDisplay.log                         |      0m02.95s |   721612 ko ||      -0m01.19s ||       328 ko |  -40.33% |         +0.04%
   0m01.76s |   722060 ko | Specific/solinas32_2e130m5_6limbs/feaddDisplay.log                         |      0m02.96s |   721708 ko ||      -0m01.19s ||       352 ko |  -40.54% |         +0.04%
   0m01.76s |   720344 ko | Specific/solinas64_2e130m5_4limbs/fecarryDisplay.log                       |      0m03.17s |   720448 ko ||      -0m01.40s ||      -104 ko |  -44.47% |         -0.01%
   0m01.76s |   720912 ko | Specific/solinas64_2e150m5_4limbs/feaddDisplay.log                         |      0m02.90s |   721020 ko ||      -0m01.13s ||      -108 ko |  -39.31% |         -0.01%
   0m01.76s |   720712 ko | Specific/solinas64_2e174m3_3limbs/feaddDisplay.log                         |      0m02.93s |   720444 ko ||      -0m01.17s ||       268 ko |  -39.93% |         +0.03%
   0m01.76s |   722144 ko | Specific/solinas64_2e192m2e64m1_4limbs/fesubDisplay.log                    |      0m02.90s |   721964 ko ||      -0m01.13s ||       180 ko |  -39.31% |         +0.02%
   0m01.76s |   721824 ko | Specific/solinas64_2e194m33_5limbs/feaddDisplay.log                        |      0m02.90s |   721756 ko ||      -0m01.13s ||        68 ko |  -39.31% |         +0.00%
   0m01.76s |   721680 ko | Specific/solinas64_2e213m3_5limbs/feaddDisplay.log                         |      0m02.84s |   721688 ko ||      -0m01.07s ||        -8 ko |  -38.02% |         -0.00%
   0m01.76s |   721716 ko | Specific/solinas64_2e221m3_4limbs/feaddDisplay.log                         |      0m02.85s |   721408 ko ||      -0m01.09s ||       308 ko |  -38.24% |         +0.04%
   0m01.76s |   721852 ko | Specific/solinas64_2e226m5_5limbs/feaddDisplay.log                         |      0m03.06s |   721500 ko ||      -0m01.30s ||       352 ko |  -42.48% |         +0.04%
   0m01.75s |   721816 ko | Specific/solinas32_2e129m25_6limbs/feaddDisplay.log                        |      0m02.85s |   721676 ko ||      -0m01.10s ||       140 ko |  -38.59% |         +0.01%
   0m01.75s |   721276 ko | Specific/solinas32_2e130m5_5limbs/feaddDisplay.log                         |      0m02.91s |   721032 ko ||      -0m01.16s ||       244 ko |  -39.86% |         +0.03%
   0m01.75s |   721664 ko | Specific/solinas32_2e140m27_6limbs/feaddDisplay.log                        |      0m02.99s |   721848 ko ||      -0m01.24s ||      -184 ko |  -41.47% |         -0.02%
   0m01.75s |   721824 ko | Specific/solinas32_2e150m5_6limbs/feaddDisplay.log                         |      0m02.94s |   721720 ko ||      -0m01.18s ||       104 ko |  -40.47% |         +0.01%
   0m01.75s |   722692 ko | Specific/solinas32_2e171m19_7limbs/feaddDisplay.log                        |      0m02.95s |   722172 ko ||      -0m01.20s ||       520 ko |  -40.67% |         +0.07%
   0m01.75s |   721040 ko | Specific/solinas64_2e129m25_4limbs/feaddDisplay.log                        |      0m02.86s |   720816 ko ||      -0m01.10s ||       224 ko |  -38.81% |         +0.03%
   0m01.75s |   720880 ko | Specific/solinas64_2e140m27_4limbs/feaddDisplay.log                        |      0m02.91s |   720860 ko ||      -0m01.16s ||        20 ko |  -39.86% |         +0.00%
   0m01.75s |   720832 ko | Specific/solinas64_2e150m3_3limbs/fesubDisplay.log                         |      0m02.83s |   720592 ko ||      -0m01.08s ||       240 ko |  -38.16% |         +0.03%
   0m01.75s |   720688 ko | Specific/solinas64_2e174m17_3limbs/feaddDisplay.log                        |      0m02.83s |   720680 ko ||      -0m01.08s ||         8 ko |  -38.16% |         +0.00%
   0m01.75s |   720976 ko | Specific/solinas64_2e174m3_3limbs/fesubDisplay.log                         |      0m02.97s |   720976 ko ||      -0m01.22s ||         0 ko |  -41.07% |         +0.00%
   0m01.75s |   721820 ko | Specific/solinas64_2e192m2e64m1_5limbs/feaddDisplay.log                    |      0m02.93s |   721792 ko ||      -0m01.18s ||        28 ko |  -40.27% |         +0.00%
   0m01.75s |   721456 ko | Specific/solinas64_2e194m33_4limbs/feaddDisplay.log                        |      0m02.94s |   721220 ko ||      -0m01.18s ||       236 ko |  -40.47% |         +0.03%
   0m01.75s |   721672 ko | Specific/solinas64_2e198m17_4limbs/feaddDisplay.log                        |      0m02.88s |   721400 ko ||      -0m01.12s ||       272 ko |  -39.23% |         +0.03%
   0m01.75s |   721960 ko | Specific/solinas64_2e206m5_5limbs/feaddDisplay.log                         |      0m02.82s |   721588 ko ||      -0m01.06s ||       372 ko |  -37.94% |         +0.05%
   0m01.75s |   721920 ko | Specific/solinas64_2e216m2e108m1_5limbs/feaddDisplay.log                   |      0m03.06s |   722136 ko ||      -0m01.31s ||      -216 ko |  -42.81% |         -0.02%
   0m01.75s |   721184 ko | Specific/solinas64_2e230m27_4limbs/feaddDisplay.log                        |      0m02.83s |   721200 ko ||      -0m01.08s ||       -16 ko |  -38.16% |         -0.00%
   0m01.74s |   720688 ko | Specific/solinas64_2e129m25_3limbs/fesubDisplay.log                        |      0m02.84s |   720640 ko ||      -0m01.09s ||        48 ko |  -38.73% |         +0.00%
   0m01.74s |   720716 ko | Specific/solinas64_2e141m9_3limbs/fesubDisplay.log                         |      0m02.97s |   720696 ko ||      -0m01.23s ||        20 ko |  -41.41% |         +0.00%
   0m01.74s |   721024 ko | Specific/solinas64_2e150m5_3limbs/fesubDisplay.log                         |      0m02.79s |   720844 ko ||      -0m01.05s ||       180 ko |  -37.63% |         +0.02%
   0m01.74s |   720792 ko | Specific/solinas64_2e165m25_3limbs/feaddDisplay.log                        |      0m02.99s |   720608 ko ||      -0m01.25s ||       184 ko |  -41.80% |         +0.02%
   0m01.74s |   721104 ko | Specific/solinas64_2e174m17_4limbs/feaddDisplay.log                        |      0m03.07s |   721164 ko ||      -0m01.32s ||       -60 ko |  -43.32% |         -0.00%
   0m01.74s |   722096 ko | Specific/solinas64_2e222m117_5limbs/feaddDisplay.log                       |      0m02.86s |   721484 ko ||      -0m01.11s ||       612 ko |  -39.16% |         +0.08%
   0m01.73s |   721448 ko | Specific/solinas32_2e129m25_5limbs/feaddDisplay.log                        |      0m02.79s |   721200 ko ||      -0m01.06s ||       248 ko |  -37.99% |         +0.03%
   0m01.73s |   723192 ko | Specific/solinas32_2e206m5_8limbs/feaddDisplay.log                         |      0m02.96s |   723144 ko ||      -0m01.23s ||        48 ko |  -41.55% |         +0.00%
   0m01.73s |   721036 ko | Specific/solinas64_2e141m9_4limbs/fesubDisplay.log                         |      0m02.90s |   721004 ko ||      -0m01.16s ||        32 ko |  -40.34% |         +0.00%
   0m01.73s |   721208 ko | Specific/solinas64_2e150m3_4limbs/feaddDisplay.log                         |      0m02.97s |   720936 ko ||      -0m01.24s ||       272 ko |  -41.75% |         +0.03%
   0m01.73s |   721096 ko | Specific/solinas64_2e152m17_3limbs/fesubDisplay.log                        |      0m02.89s |   720864 ko ||      -0m01.16s ||       232 ko |  -40.13% |         +0.03%
   0m01.73s |   721060 ko | Specific/solinas64_2e165m25_3limbs/fesubDisplay.log                        |      0m02.90s |   720852 ko ||      -0m01.16s ||       208 ko |  -40.34% |         +0.02%
   0m01.73s |   721200 ko | Specific/solinas64_2e166m5_4limbs/feaddDisplay.log                         |      0m03.04s |   720788 ko ||      -0m01.31s ||       412 ko |  -43.09% |         +0.05%
   0m01.73s |   720984 ko | Specific/solinas64_2e171m19_4limbs/feaddDisplay.log                        |      0m03.06s |   721088 ko ||      -0m01.33s ||      -104 ko |  -43.46% |         -0.01%
   0m01.73s |   721556 ko | Specific/solinas64_2e198m17_5limbs/feaddDisplay.log                        |      0m02.94s |   721652 ko ||      -0m01.20s ||       -96 ko |  -41.15% |         -0.01%
   0m01.72s |   720796 ko | Specific/solinas64_2e150m5_3limbs/feaddDisplay.log                         |      0m02.72s |   720684 ko ||      -0m01.00s ||       112 ko |  -36.76% |         +0.01%
   0m01.72s |   721472 ko | Specific/solinas64_2e174m3_4limbs/feaddDisplay.log                         |      0m02.92s |   721076 ko ||      -0m01.19s ||       396 ko |  -41.09% |         +0.05%
   0m01.72s |   721344 ko | Specific/solinas64_2e235m15_4limbs/feaddDisplay.log                        |      0m02.83s |   721156 ko ||      -0m01.11s ||       188 ko |  -39.22% |         +0.02%
   0m01.71s |   720412 ko | Specific/solinas64_2e127m1_3limbs/feaddDisplay.log                         |      0m02.80s |   720632 ko ||      -0m01.08s ||      -220 ko |  -38.92% |         -0.03%
   0m01.71s |   720736 ko | Specific/solinas64_2e129m25_3limbs/feaddDisplay.log                        |      0m02.78s |   720488 ko ||      -0m01.06s ||       248 ko |  -38.48% |         +0.03%
   0m01.71s |   721464 ko | Specific/solinas64_2e158m15_4limbs/feaddDisplay.log                        |      0m02.98s |   720732 ko ||      -0m01.27s ||       732 ko |  -42.61% |         +0.10%
   0m01.71s |   721828 ko | Specific/solinas64_2e196m15_5limbs/feaddDisplay.log                        |      0m02.94s |   721364 ko ||      -0m01.23s ||       464 ko |  -41.83% |         +0.06%
   0m01.71s |   721824 ko | Specific/solinas64_2e213m3_4limbs/fesubDisplay.log                         |      0m02.97s |   721488 ko ||      -0m01.26s ||       336 ko |  -42.42% |         +0.04%
   0m01.71s |   721880 ko | Specific/solinas64_2e216m2e108m1_4limbs/fesubDisplay.log                   |      0m03.01s |   721572 ko ||      -0m01.29s ||       308 ko |  -43.18% |         +0.04%
   0m01.70s |   720884 ko | Specific/solinas64_2e130m5_3limbs/fesubDisplay.log                         |      0m02.88s |   720504 ko ||      -0m01.17s ||       380 ko |  -40.97% |         +0.05%
   0m01.70s |   720776 ko | Specific/solinas64_2e137m13_3limbs/feaddDisplay.log                        |      0m02.95s |   720484 ko ||      -0m01.25s ||       292 ko |  -42.37% |         +0.04%
   0m01.70s |   720816 ko | Specific/solinas64_2e150m3_3limbs/feaddDisplay.log                         |      0m02.98s |   720548 ko ||      -0m01.28s ||       268 ko |  -42.95% |         +0.03%
   0m01.70s |   721140 ko | Specific/solinas64_2e152m17_4limbs/feaddDisplay.log                        |      0m02.92s |   721232 ko ||      -0m01.21s ||       -92 ko |  -41.78% |         -0.01%
   0m01.70s |   722080 ko | Specific/solinas64_2e224m2e96p1_5limbs/feaddDisplay.log                    |      0m03.10s |   721956 ko ||      -0m01.40s ||       124 ko |  -45.16% |         +0.01%
   0m01.69s |   721552 ko | Specific/solinas32_2e127m1_5limbs/feaddDisplay.log                         |      0m02.72s |   721220 ko ||      -0m01.03s ||       332 ko |  -37.86% |         +0.04%
   0m01.69s |   721892 ko | Specific/solinas32_2e137m13_6limbs/feaddDisplay.log                        |      0m02.84s |   721724 ko ||      -0m01.14s ||       168 ko |  -40.49% |         +0.02%
   0m01.69s |   720748 ko | Specific/solinas64_2e130m5_3limbs/feaddDisplay.log                         |      0m02.97s |   720624 ko ||      -0m01.28s ||       124 ko |  -43.09% |         +0.01%
   0m01.69s |   720820 ko | Specific/solinas64_2e137m13_4limbs/feaddDisplay.log                        |      0m02.78s |   720716 ko ||      -0m01.08s ||       104 ko |  -39.20% |         +0.01%
   0m01.69s |   720792 ko | Specific/solinas64_2e152m17_3limbs/feaddDisplay.log                        |      0m02.80s |   720624 ko ||      -0m01.10s ||       168 ko |  -39.64% |         +0.02%
   0m01.69s |   721660 ko | Specific/solinas64_2e152m17_4limbs/fesubDisplay.log                        |      0m02.92s |   721624 ko ||      -0m01.23s ||        36 ko |  -42.12% |         +0.00%
   0m01.69s |   722024 ko | Specific/solinas64_2e158m15_4limbs/fesubDisplay.log                        |      0m03.01s |   721884 ko ||      -0m01.31s ||       140 ko |  -43.85% |         +0.01%
   0m01.68s |   721044 ko | Specific/solinas64_2e130m5_4limbs/feaddDisplay.log                         |      0m02.99s |   720848 ko ||      -0m01.31s ||       196 ko |  -43.81% |         +0.02%
   0m01.68s |   721732 ko | Specific/solinas64_2e192m2e64m1_4limbs/feaddDisplay.log                    |      0m02.89s |   721404 ko ||      -0m01.21s ||       328 ko |  -41.86% |         +0.04%
   0m01.67s |   721260 ko | Specific/solinas64_2e141m9_4limbs/feaddDisplay.log                         |      0m02.92s |   720732 ko ||      -0m01.25s ||       528 ko |  -42.80% |         +0.07%
   0m01.66s |   720648 ko | Specific/solinas64_2e158m15_3limbs/feaddDisplay.log                        |      0m02.76s |   720484 ko ||      -0m01.09s ||       164 ko |  -39.85% |         +0.02%
   0m01.66s |   721732 ko | Specific/solinas64_2e189m25_4limbs/feaddDisplay.log                        |      0m02.85s |   721348 ko ||      -0m01.19s ||       384 ko |  -41.75% |         +0.05%
   0m01.64s |   720792 ko | Specific/solinas64_2e140m27_3limbs/feaddDisplay.log                        |      0m02.85s |   720596 ko ||      -0m01.21s ||       196 ko |  -42.45% |         +0.02%
   0m01.64s |   720644 ko | Specific/solinas64_2e141m9_3limbs/feaddDisplay.log                         |      0m02.89s |   720376 ko ||      -0m01.25s ||       268 ko |  -43.25% |         +0.03%
   0m01.63s |   720892 ko | Specific/solinas64_2e171m19_3limbs/feaddDisplay.log                        |      0m02.83s |   720584 ko ||      -0m01.20s ||       308 ko |  -42.40% |         +0.04%
  11m53.64s |  5778384 ko | Specific/solinas32_2e511m481_24limbs/femul.vo                              |     11m53.58s |  5939784 ko ||      +0m00.05s ||   -161400 ko |   +0.00% |         -2.71%
   9m02.83s |  8079584 ko | Specific/solinas32_2e480m2e240m1_18limbs/femul.vo                          |      9m03.78s |  7768396 ko ||      -0m00.94s ||    311188 ko |   -0.17% |         +4.00%
   8m55.82s |  8044824 ko | Specific/solinas32_2e450m2e225m1_18limbs/femul.vo                          |      8m56.20s |  7750060 ko ||      -0m00.37s ||    294764 ko |   -0.07% |         +3.80%
   6m09.39s |  1146876 ko | Specific/solinas32_2e512m569_25limbs/Synthesis.vo                          |      6m08.75s |  1146984 ko ||      +0m00.63s ||      -108 ko |   +0.17% |         -0.00%
   5m24.61s |  1146912 ko | Specific/solinas32_2e511m481_24limbs/Synthesis.vo                          |      5m25.40s |  1146940 ko ||      -0m00.78s ||       -28 ko |   -0.24% |         -0.00%
   4m47.18s |  1147540 ko | Specific/solinas32_2e511m187_23limbs/Synthesis.vo                          |      4m46.88s |  1147436 ko ||      +0m00.30s ||       104 ko |   +0.10% |         +0.00%
   4m31.13s |  1513384 ko | Specific/solinas32_2e511m481_24limbs/fesub.vo                              |      4m31.46s |  1511360 ko ||      -0m00.32s ||      2024 ko |   -0.12% |         +0.13%
   4m19.70s |  1406412 ko | Specific/solinas32_2e512m569_24limbs/feadd.vo                              |      4m20.12s |  1406192 ko ||      -0m00.42s ||       220 ko |   -0.16% |         +0.01%
   4m19.28s |  1405984 ko | Specific/solinas32_2e511m481_24limbs/feadd.vo                              |      4m19.49s |  1406912 ko ||      -0m00.21s ||      -928 ko |   -0.08% |         -0.06%
   4m02.65s |  3545404 ko | Specific/solinas32_2e512m569_25limbs/freeze.vo                             |      4m01.78s |  3536532 ko ||      +0m00.87s ||      8872 ko |   +0.35% |         +0.25%
   4m00.55s |  3266272 ko | Specific/solinas32_2e468m17_19limbs/fesquare.vo                            |      4m01.06s |  3259184 ko ||      -0m00.50s ||      7088 ko |   -0.21% |         +0.21%
   3m29.63s |  1052628 ko | Specific/solinas32_2e495m31_21limbs/Synthesis.vo                           |      3m29.02s |  1052888 ko ||      +0m00.60s ||      -260 ko |   +0.29% |         -0.02%
   3m14.94s |  3241224 ko | Specific/solinas32_2e511m481_24limbs/freeze.vo                             |      3m15.32s |  3235356 ko ||      -0m00.37s ||      5868 ko |   -0.19% |         +0.18%
   3m01.87s |  1041928 ko | Specific/solinas32_2e495m31_20limbs/Synthesis.vo                           |      3m02.12s |  1042072 ko ||      -0m00.25s ||      -144 ko |   -0.13% |         -0.01%
   3m00.43s |  1042140 ko | Specific/solinas32_2e488m17_20limbs/Synthesis.vo                           |      2m59.63s |  1042128 ko ||      +0m00.80s ||        12 ko |   +0.44% |         +0.00%
   3m00.38s |  2360884 ko | Specific/solinas32_2e389m21_16limbs/femul.vo                               |      3m00.67s |  2356816 ko ||      -0m00.28s ||      4068 ko |   -0.16% |         +0.17%
   2m56.80s |  1352980 ko | Specific/solinas32_2e511m187_23limbs/feadd.vo                              |      2m56.65s |  1353020 ko ||      +0m00.15s ||       -40 ko |   +0.08% |         -0.00%
   2m43.82s |  3069640 ko | Specific/solinas32_2e511m481_23limbs/freeze.vo                             |      2m43.77s |  3106240 ko ||      +0m00.04s ||    -36600 ko |   +0.03% |         -1.17%
   2m43.16s |  2941344 ko | Specific/solinas32_2e511m187_23limbs/freeze.vo                             |      2m43.15s |  3106076 ko ||      +0m00.00s ||   -164732 ko |   +0.00% |         -5.30%
   2m41.60s |   954324 ko | Specific/solinas32_2e521m1_19limbs/Synthesis.vo                            |      2m41.52s |   954520 ko ||      +0m00.07s ||      -196 ko |   +0.04% |         -0.02%
   2m34.58s |  1673368 ko | Experiments/NewPipeline/Rewriter.vo                                        |      2m35.17s |  1673236 ko ||      -0m00.59s ||       132 ko |   -0.38% |         +0.00%
   2m09.84s |  1027020 ko | Experiments/NewPipeline/Arithmetic.vo                                      |      2m10.55s |  1027848 ko ||      -0m00.71s ||      -828 ko |   -0.54% |         -0.08%
   2m07.79s |  1271756 ko | Specific/solinas32_2e511m187_22limbs/feadd.vo                              |      2m07.40s |  1272452 ko ||      +0m00.39s ||      -696 ko |   +0.30% |         -0.05%
   2m07.67s |  1891244 ko | Specific/solinas32_2e338m15_14limbs/femul.vo                               |      2m08.25s |  1914672 ko ||      -0m00.57s ||    -23428 ko |   -0.45% |         -1.22%
   2m05.78s |   954380 ko | Specific/solinas32_2e384m2e128m2e96p2e32m1_19limbs/Synthesis.vo            |      2m05.46s |   954700 ko ||      +0m00.32s ||      -320 ko |   +0.25% |         -0.03%
   2m04.38s |  1043124 ko | Specific/solinas32_2e450m2e225m1_20limbs/Synthesis.vo                      |      2m04.93s |  1043096 ko ||      -0m00.55s ||        28 ko |   -0.44% |         +0.00%
   2m01.65s |  2685180 ko | Specific/montgomery64_2e256m189_4limbs/femul.vo                            |      2m00.79s |  2689628 ko ||      +0m00.85s ||     -4448 ko |   +0.71% |         -0.16%
   2m01.46s |  2686264 ko | Specific/montgomery64_2e221m3_4limbs/femul.vo                              |      2m00.77s |  2679268 ko ||      +0m00.68s ||      6996 ko |   +0.57% |         +0.26%
   2m01.19s |  2688884 ko | Specific/montgomery64_2e255m765_4limbs/femul.vo                            |      2m00.80s |  2685492 ko ||      +0m00.39s ||      3392 ko |   +0.32% |         +0.12%
   2m00.96s |  2681268 ko | Specific/montgomery64_2e256m88x2e240m1_4limbs/femul.vo                     |      2m00.76s |  2610148 ko ||      +0m00.19s ||     71120 ko |   +0.16% |         +2.72%
   1m55.89s |  2685876 ko | Specific/montgomery64_2e251m9_4limbs/femul.vo                              |      1m55.34s |  2698848 ko ||      +0m00.54s ||    -12972 ko |   +0.47% |         -0.48%
   1m54.29s |  2698148 ko | Specific/montgomery64_2e216m2e108m1_4limbs/femul.vo                        |      1m53.69s |  2686616 ko ||      +0m00.59s ||     11532 ko |   +0.52% |         +0.42%
   1m54.10s |  2412168 ko | Specific/solinas32_2e521m1_20limbs/freeze.vo                               |      1m53.56s |  2377600 ko ||      +0m00.53s ||     34568 ko |   +0.47% |         +1.45%
   1m48.93s |  2365880 ko | Specific/solinas32_2e489m21_20limbs/freeze.vo                              |      1m49.04s |  2355920 ko ||      -0m00.10s ||      9960 ko |   -0.10% |         +0.42%
