      After |    Peak Mem | File Name                                                                  |        Before |    Peak Mem ||         Change || Change (mem) | % Change | % Change (mem)
   0m31.89s |   895660 ko | Specific/montgomery32_2e221m3_7limbs/fesub.vo                              |     92m46.84s |   966528 ko ||     -92m14.94s ||    -70868 ko |  -99.42% |         -7.33%
   0m32.09s |   895144 ko | Specific/montgomery32_2e206m5_7limbs/fesub.vo                              |     92m40.80s |   959604 ko ||     -92m08.71s ||    -64460 ko |  -99.42% |         -6.71%
   0m32.04s |   895864 ko | Specific/montgomery32_2e212m29_7limbs/fesub.vo                             |     92m27.83s |   966336 ko ||     -91m55.78s ||    -70472 ko |  -99.42% |         -7.29%
   0m32.06s |   899132 ko | Specific/montgomery32_2e198m17_7limbs/fesub.vo                             |     92m25.94s |   990928 ko ||     -91m53.87s ||    -91796 ko |  -99.42% |         -9.26%
   0m31.09s |   890056 ko | Specific/montgomery32_2e222m117_7limbs/fesub.vo                            |     92m19.61s |   988540 ko ||     -91m48.51s ||    -98484 ko |  -99.43% |         -9.96%
   0m32.05s |   899204 ko | Specific/montgomery32_2e194m33_7limbs/fesub.vo                             |     91m38.81s |   987548 ko ||     -91m06.76s ||    -88344 ko |  -99.41% |         -8.94%
   0m31.07s |   906696 ko | Specific/montgomery32_2e224m2e96p1_7limbs/fesub.vo                         |     91m32.45s |   955656 ko ||     -91m01.38s ||    -48960 ko |  -99.43% |         -5.12%
   0m23.96s |   826840 ko | Specific/montgomery64_2e416m2e208m1_7limbs/feopp.vo                        |     59m22.36s |   940108 ko ||     -58m58.40s ||   -113268 ko |  -99.32% |        -12.04%
   0m23.73s |   825056 ko | Specific/montgomery64_2e448m2e224m1_7limbs/feopp.vo                        |     59m16.62s |   940116 ko ||     -58m52.88s ||   -115060 ko |  -99.33% |        -12.23%
   0m24.16s |   826604 ko | Specific/montgomery64_2e414m17_7limbs/feopp.vo                             |     59m15.18s |   943656 ko ||     -58m51.01s ||   -117052 ko |  -99.32% |        -12.40%
   0m24.06s |   828876 ko | Specific/montgomery64_2e401m31_7limbs/feopp.vo                             |     59m12.30s |   936252 ko ||     -58m48.24s ||   -107376 ko |  -99.32% |        -11.46%
   0m23.79s |   827296 ko | Specific/montgomery64_2e413m21_7limbs/feopp.vo                             |     59m03.39s |   942956 ko ||     -58m39.59s ||   -115660 ko |  -99.32% |        -12.26%
   0m24.04s |   827636 ko | Specific/montgomery64_2e389m21_7limbs/feopp.vo                             |     58m58.87s |   939608 ko ||     -58m34.82s ||   -111972 ko |  -99.32% |        -11.91%
   0m24.06s |   824468 ko | Specific/montgomery64_2e444m17_7limbs/feopp.vo                             |     58m55.29s |   943072 ko ||     -58m31.23s ||   -118604 ko |  -99.31% |        -12.57%
   0m21.24s |   806268 ko | Specific/montgomery32_2e205m45x2e198m1_7limbs/feopp.vo                     |     57m03.46s |   899584 ko ||     -56m42.22s ||    -93316 ko |  -99.37% |        -10.37%
   0m21.36s |   806904 ko | Specific/montgomery32_2e213m3_7limbs/feopp.vo                              |     57m01.30s |   895700 ko ||     -56m39.94s ||    -88796 ko |  -99.37% |         -9.91%
   0m21.45s |   805536 ko | Specific/montgomery32_2e216m2e108m1_7limbs/feopp.vo                        |     56m52.74s |   895256 ko ||     -56m31.28s ||    -89720 ko |  -99.37% |        -10.02%
   0m20.97s |   806900 ko | Specific/montgomery32_2e221m3_7limbs/feopp.vo                              |     56m41.21s |   895276 ko ||     -56m20.24s ||    -88376 ko |  -99.38% |         -9.87%
   0m20.90s |   806412 ko | Specific/montgomery32_2e198m17_7limbs/feopp.vo                             |     56m39.96s |   897112 ko ||     -56m19.05s ||    -90700 ko |  -99.38% |        -10.11%
   0m21.12s |   806160 ko | Specific/montgomery32_2e206m5_7limbs/feopp.vo                              |     56m28.07s |   897296 ko ||     -56m06.95s ||    -91136 ko |  -99.37% |        -10.15%
   0m20.99s |   805536 ko | Specific/montgomery32_2e212m29_7limbs/feopp.vo                             |     56m24.79s |   895256 ko ||     -56m03.80s ||    -89720 ko |  -99.37% |        -10.02%
   0m20.92s |   807672 ko | Specific/montgomery32_2e222m117_7limbs/feopp.vo                            |     56m24.23s |   896520 ko ||     -56m03.30s ||    -88848 ko |  -99.38% |         -9.91%
   0m20.72s |   804208 ko | Specific/montgomery32_2e224m2e96p1_7limbs/feopp.vo                         |     55m56.36s |   893296 ko ||     -55m35.64s ||    -89088 ko |  -99.38% |         -9.97%
   0m21.16s |   807128 ko | Specific/montgomery32_2e196m15_7limbs/feopp.vo                             |     55m31.34s |   893144 ko ||     -55m10.18s ||    -86016 ko |  -99.36% |         -9.63%
   0m21.18s |   808436 ko | Specific/montgomery32_2e194m33_7limbs/feopp.vo                             |     55m15.48s |   893104 ko ||     -54m54.30s ||    -84668 ko |  -99.36% |         -9.48%
  31m41.55s | 34141768 ko | Specific/montgomery32_2e256m2e224p2e192p2e96m1_8limbs/femul.vo             |     46m51.81s | 33516236 ko ||     -15m10.25s ||    625532 ko |  -32.37% |         +1.86%
  31m53.23s | 33805996 ko | Specific/montgomery32_2e256m2e32m977_8limbs/femul.vo                       |     46m56.74s | 34250948 ko ||     -15m03.50s ||   -444952 ko |  -32.07% |         -1.29%
  32m01.69s | 34229284 ko | Specific/montgomery32_2e256m4294968273_8limbs/femul.vo                     |     46m55.75s | 34221124 ko ||     -14m54.05s ||      8160 ko |  -31.75% |         +0.02%
  32m00.67s | 34416932 ko | Specific/montgomery32_2e255m19_8limbs/femul.vo                             |     46m52.58s | 34212816 ko ||     -14m51.90s ||    204116 ko |  -31.71% |         +0.59%
  32m02.81s | 34286408 ko | Specific/montgomery32_2e256m189_8limbs/femul.vo                            |     46m25.77s | 34205884 ko ||     -14m22.96s ||     80524 ko |  -30.97% |         +0.23%
  32m01.24s | 34368248 ko | Specific/montgomery32_2e251m9_8limbs/femul.vo                              |     46m13.73s | 33749332 ko ||     -14m12.49s ||    618916 ko |  -30.73% |         +1.83%
  31m55.44s | 34223080 ko | Specific/montgomery32_2e243m9_8limbs/femul.vo                              |     46m04.26s | 34271632 ko ||     -14m08.82s ||    -48552 ko |  -30.70% |         -0.14%
  31m55.21s | 33712184 ko | Specific/montgomery32_2e254m127x2e240m1_8limbs/femul.vo                    |     46m03.50s | 34150476 ko ||     -14m08.28s ||   -438292 ko |  -30.69% |         -1.28%
