prime,user,real,kind,bitwidth,descr1,descr2,index,nlimbs,prime_str
170141183460469231731687303715884105727,0.144,0.144,UnsaturatedSolinas,64,PipelineFullToStringsOf,vm_compute,(0),3,2^127-1
170141183460469231731687303715884105727,0.083,0.084,UnsaturatedSolinas,64,PipelineNBEOf,vm_compute,(0),3,2^127-1
170141183460469231731687303715884105727,0.084,0.085,UnsaturatedSolinas,64,PipelineArithOf,vm_compute,(0),3,2^127-1
170141183460469231731687303715884105727,4.976,204.376,UnsaturatedSolinas,64,PipelineFullOf,native_compute (1),(0),3,2^127-1
170141183460469231731687303715884105727,0.088,0.473,UnsaturatedSolinas,64,PipelineFullOf,native_compute (2),(0),3,2^127-1
170141183460469231731687303715884105727,0.464,5.587,UnsaturatedSolinas,64,PipelineFullToStringsOf,native_compute (1),(0),3,2^127-1
170141183460469231731687303715884105727,0.147,0.302,UnsaturatedSolinas,64,PipelineFullToStringsOf,native_compute (2),(0),3,2^127-1
170141183460469231731687303715884105727,0.096,0.41,UnsaturatedSolinas,64,PipelineNBEOf,native_compute (1),(0),3,2^127-1
170141183460469231731687303715884105727,0.088,0.195,UnsaturatedSolinas,64,PipelineNBEOf,native_compute (2),(0),3,2^127-1
170141183460469231731687303715884105727,0.096,0.478,UnsaturatedSolinas,64,PipelineArithOf,native_compute (1),(0),3,2^127-1
170141183460469231731687303715884105727,0.099,0.266,UnsaturatedSolinas,64,PipelineArithOf,native_compute (2),(0),3,2^127-1
170141183460469231731687303715884105727,2.064,2.088,UnsaturatedSolinas,64,PipelineFullOf,cbv,(0),3,2^127-1
170141183460469231731687303715884105727,2.663,2.683,UnsaturatedSolinas,64,PipelineFullToStringsOf,cbv,(0),3,2^127-1
170141183460469231731687303715884105727,1.663,1.675,UnsaturatedSolinas,64,PipelineNBEOf,cbv,(0),3,2^127-1
170141183460469231731687303715884105727,1.56,1.572,UnsaturatedSolinas,64,PipelineArithOf,cbv,(0),3,2^127-1
170141183460469231731687303715884105727,1.663,1.678,UnsaturatedSolinas,64,PipelineFullOf,lazy,(0),3,2^127-1
170141183460469231731687303715884105727,2.176,2.216,UnsaturatedSolinas,64,PipelineFullToStringsOf,lazy,(0),3,2^127-1
170141183460469231731687303715884105727,1.22,1.233,UnsaturatedSolinas,64,PipelineNBEOf,lazy,(0),3,2^127-1
