src/Util/CPSNotations.vo (real: 0.13, user: 0.05, sys: 0.07, mem: 89828 ko)
src/Util/ErrorT.vo (real: 0.13, user: 0.06, sys: 0.06, mem: 89428 ko)
src/Util/Strings/Equality.vo (real: 0.38, user: 0.24, sys: 0.13, mem: 332652 ko)
src/Util/PrimitiveHList.vo (real: 0.22, user: 0.10, sys: 0.11, mem: 169396 ko)
src/Util/PrimitiveSigma.vo (real: 0.22, user: 0.12, sys: 0.09, mem: 177344 ko)
src/Util/AutoRewrite.vo (real: 0.14, user: 0.08, sys: 0.05, mem: 95364 ko)
src/Util/TagList.vo (real: 0.22, user: 0.12, sys: 0.09, mem: 169324 ko)
src/Util/ParseTaps.vo (real: 0.32, user: 0.23, sys: 0.08, mem: 252736 ko)
src/Util/SideConditions/RingPackage.vo (real: 0.41, user: 0.27, sys: 0.13, mem: 310400 ko)
src/Util/Tactics/BreakMatch.vo (real: 0.14, user: 0.06, sys: 0.06, mem: 87092 ko)
src/Util/Tactics/DestructHead.vo (real: 0.14, user: 0.08, sys: 0.05, mem: 91500 ko)
src/Util/Tactics/RewriteHyp.vo (real: 0.14, user: 0.07, sys: 0.07, mem: 103116 ko)
src/Util/Decidable.vo (real: 0.77, user: 0.61, sys: 0.15, mem: 397024 ko)
src/Util/LetIn.vo (real: 0.15, user: 0.09, sys: 0.05, mem: 104192 ko)
src/Arithmetic/BarrettReduction/RidiculousFish.vo (real: 2.61, user: 2.44, sys: 0.16, mem: 516224 ko)
src/Util/ZUtil/Log2.vo (real: 0.78, user: 0.59, sys: 0.19, mem: 485928 ko)
src/Util/ZUtil/Tactics/RewriteModSmall.vo (real: 0.67, user: 0.47, sys: 0.20, mem: 473844 ko)
src/Util/NUtil/WithoutReferenceToZ.vo (real: 0.61, user: 0.44, sys: 0.16, mem: 442196 ko)
src/Util/ZUtil/Tactics/PullPush/Modulo.vo (real: 0.53, user: 0.37, sys: 0.15, mem: 394088 ko)
src/Algebra/Hierarchy.vo (real: 0.40, user: 0.27, sys: 0.13, mem: 321140 ko)
src/Compilers/Syntax.vo (real: 0.16, user: 0.08, sys: 0.07, mem: 115288 ko)
src/Util/ZUtil/Peano.vo (real: 0.61, user: 0.45, sys: 0.15, mem: 462364 ko)
src/Compilers/TypeUtil.vo (real: 0.13, user: 0.07, sys: 0.06, mem: 93304 ko)
src/Util/ZUtil/Div.vo (real: 2.38, user: 2.19, sys: 0.19, mem: 516776 ko)
src/Compilers/InSet/Syntax.vo (real: 0.15, user: 0.07, sys: 0.07, mem: 101904 ko)
src/Util/Tactics/MoveLetIn.vo (real: 0.12, user: 0.04, sys: 0.08, mem: 86096 ko)
src/Util/Sum.vo (real: 0.46, user: 0.34, sys: 0.12, mem: 395100 ko)
src/Util/Strings/Ascii.vo (real: 0.33, user: 0.22, sys: 0.11, mem: 264704 ko)
src/Util/PartiallyReifiedProp.vo (real: 0.91, user: 0.78, sys: 0.12, mem: 321876 ko)
src/Util/Logic/ExistsEqAnd.vo (real: 0.15, user: 0.09, sys: 0.06, mem: 114752 ko)
src/Util/ZUtil/ZSimplify/Autogenerated.vo (real: 5.65, user: 5.44, sys: 0.20, mem: 526452 ko)
src/Util/Strings/Decimal.vo (real: 0.37, user: 0.20, sys: 0.17, mem: 317556 ko)
src/Util/FMapPositive/Equality.vo (real: 0.45, user: 0.25, sys: 0.19, mem: 383924 ko)
src/Util/ListUtil/ForallIn.vo (real: 0.25, user: 0.14, sys: 0.10, mem: 232188 ko)
src/Util/MSetPositive/Equality.vo (real: 0.59, user: 0.39, sys: 0.19, mem: 426272 ko)
src/Specific/Framework/Packages.vo (real: 0.19, user: 0.11, sys: 0.08, mem: 159604 ko)
src/LegacyArithmetic/ZBounded.vo (real: 0.53, user: 0.37, sys: 0.15, mem: 413264 ko)
src/Spec/MxDH.vo (real: 0.35, user: 0.23, sys: 0.12, mem: 287388 ko)
src/Util/Tactics.vo (real: 0.13, user: 0.07, sys: 0.05, mem: 94052 ko)
src/Util/LetInMonad.vo (real: 0.33, user: 0.21, sys: 0.11, mem: 313020 ko)
src/Util/SideConditions/ReductionPackages.vo (real: 0.31, user: 0.22, sys: 0.09, mem: 260512 ko)
src/Util/Option.vo (real: 0.40, user: 0.27, sys: 0.12, mem: 311880 ko)
src/Util/ZUtil/Tactics/PullPush.vo (real: 0.48, user: 0.34, sys: 0.13, mem: 358752 ko)
src/Util/ZUtil/Definitions.vo (real: 0.41, user: 0.24, sys: 0.16, mem: 332016 ko)
src/Util/ZUtil/Tactics/ZeroBounds.vo (real: 0.54, user: 0.38, sys: 0.16, mem: 399564 ko)
src/Algebra/Monoid.vo (real: 0.50, user: 0.35, sys: 0.15, mem: 399120 ko)
src/Util/ZUtil/Zselect.vo (real: 0.41, user: 0.28, sys: 0.13, mem: 327268 ko)
src/Util/ZUtil/CPS.vo (real: 0.60, user: 0.44, sys: 0.15, mem: 416060 ko)
src/Util/ZUtil/Divide.vo (real: 0.69, user: 0.52, sys: 0.16, mem: 477424 ko)
src/Util/ZUtil/Tactics/SimplifyFractionsLe.vo (real: 0.54, user: 0.40, sys: 0.14, mem: 403616 ko)
src/Util/ZUtil/ZSimplify.vo (real: 0.51, user: 0.35, sys: 0.15, mem: 364664 ko)
src/Util/ZUtil/MulSplit.vo (real: 0.51, user: 0.35, sys: 0.15, mem: 399552 ko)
src/Arithmetic/MontgomeryReduction/WordByWord/Abstract/Dependent/Definition.vo (real: 0.40, user: 0.25, sys: 0.14, mem: 332520 ko)
src/Arithmetic/MontgomeryReduction/WordByWord/Abstract/Definition.vo (real: 0.41, user: 0.31, sys: 0.10, mem: 326472 ko)
src/Util/ZUtil/AddGetCarry.vo (real: 1.53, user: 1.33, sys: 0.19, mem: 509320 ko)
src/Compilers/Equality.vo (real: 0.40, user: 0.24, sys: 0.15, mem: 360856 ko)
src/Compilers/TypeInversion.vo (real: 0.20, user: 0.09, sys: 0.10, mem: 153176 ko)
src/Compilers/Wf.vo (real: 0.26, user: 0.14, sys: 0.11, mem: 209932 ko)
src/Compilers/Map.vo (real: 0.13, user: 0.04, sys: 0.08, mem: 92784 ko)
src/Compilers/Rewriter.vo (real: 0.13, user: 0.05, sys: 0.08, mem: 91700 ko)
src/Compilers/Named/NameUtil.vo (real: 0.22, user: 0.12, sys: 0.09, mem: 173668 ko)
src/Compilers/Intros.vo (real: 0.15, user: 0.07, sys: 0.07, mem: 100584 ko)
src/Compilers/InSet/Typeify.vo (real: 0.13, user: 0.07, sys: 0.05, mem: 95808 ko)
src/Compilers/InterpRewriting.vo (real: 0.61, user: 0.46, sys: 0.15, mem: 442776 ko)
src/Experiments/PartialEvaluationWithLetIn.vo (real: 0.59, user: 0.51, sys: 0.08, mem: 357568 ko)
src/Util/OptionList.vo (real: 0.38, user: 0.23, sys: 0.15, mem: 352864 ko)
src/Util/Strings/String.vo (real: 0.54, user: 0.37, sys: 0.17, mem: 415972 ko)
src/Util/ZUtil/Modulo.vo (real: 5.95, user: 5.73, sys: 0.21, mem: 554828 ko)
src/Util/ZUtil/CC.vo (real: 0.94, user: 0.72, sys: 0.21, mem: 509200 ko)
src/Util/ZUtil/AddModulo.vo (real: 0.40, user: 0.26, sys: 0.13, mem: 317516 ko)
src/Util/ListUtil.vo (real: 6.70, user: 6.43, sys: 0.23, mem: 522780 ko)
src/Util/Strings/Show.vo (real: 0.48, user: 0.31, sys: 0.15, mem: 373856 ko)
src/Util/ListUtil/SetoidList.vo (real: 0.26, user: 0.16, sys: 0.10, mem: 220864 ko)
src/LegacyArithmetic/Pow2Base.vo (real: 0.54, user: 0.37, sys: 0.16, mem: 408788 ko)
src/Util/ZUtil/Rshi.vo (real: 1.56, user: 1.37, sys: 0.19, mem: 509976 ko)
src/LegacyArithmetic/BaseSystem.vo (real: 0.65, user: 0.48, sys: 0.17, mem: 447404 ko)
src/Util/SideConditions/ModInvPackage.vo (real: 0.39, user: 0.26, sys: 0.12, mem: 308696 ko)
src/Util/ListUtil/Forall.vo (real: 1.23, user: 1.05, sys: 0.17, mem: 466736 ko)
src/Util/Arg.vo (real: 0.63, user: 0.44, sys: 0.18, mem: 422272 ko)
